,team,number,position,height,weight,hometown,highschool,year
Arthur Nwobi,Amherst,24,RB,"5'8""",185,"Newark, NJ",Brooks School,2026
Jack Roberge,Amherst,25,TB,"5'10""",195,"Monroe, CT",Cheshire Academy,2025
Luke Harmon,Amherst,26,DB,"6'1""",175,"Washington, DC",St. Albans School,2026
Matt Monteleone,Amherst,27,DB,"6'0""",182,"Florham Park, NJ",Seton Hall Prep,2026
Jacob Bruno,Amherst,28,WR,"6'0""",190,"Cold Spring Harbor, NY",Cold Spring Harbor,2025
Will Harmon,Amherst,29,DB,"5'11""",165,"Washington, DC",St. Albans School,2025
Logan Shooster,Amherst,30,LB,"5'11""",200,"Parkland, FL",North Broward Prep,2023
Trey Doyle,Amherst,31,LB,"6'0""",205,"Collegeville, PA",Saint Joseph’s Prep,2025
Manni Malone,Amherst,32,DL,"5'11""",225,"Munson Township, OH",Notre Dame-Cathedral Latin,2023
Tylon Crump Jr.,Amherst,33,TB,"6'0""",220,"East Hartford, CT",Loomis Chaffee,2024
Louie Eckelkamp,Amherst,34,TB,"5'8""",216,"Washington, MO",Saint Francis Borgia Regional,2024
Ben Taylor,Amherst,35,LB,"6'3""",230,"Bowie, MD",Choate Rosemary Hall,2025
Kevin Agnew,Amherst,36,DB,"6'1""",180,"Chatham, NJ",Seton Hall Prep,2026
Zach Dlugos,Amherst,37,DB,"5'11""",185,"Greensburg, PA",Greensburg Central Catholic,2025
Adam Tolk,Amherst,38,LB,"5'10""",195,"Trumbull, CT",Trumbull,2024
Damian Carrano,Amherst,40,LB,"6'0""",215,"North Haven, CT",Choate Rosemary Hall,2026
Tim Swope,Amherst,41,LB,"6'0""",215,"Olney, MD",St. John's College,2023
Kevin Girardi,Amherst,42,TE,"6'1""",215,"Madison, CT",Daniel Hand,2023
Cato Legaspi,Amherst,44,TB,"5'11""",205,"Pleasant Gap, PA",Phillips Academy,2026
Ethan Burdo,Amherst,45,DL,"6'1""",240,"Cold Spring Harbor, NY",Cold Spring Harbor,2025
John Schiano,Amherst,46,LB,"6'0""",230,"Piscataway, NJ",Columbus Academy,2023
Ben Williams,Amherst,47,LB,"6'0""",195,"Bethesda, MD",Bethesda-Chevy Chase,2026
Dylan Miccolis,Amherst,48,LB,"6'0""",195,"New Providence, NJ",Delbarton School,2025
Charlie Parkinson,Amherst,49,DL,"6'1""",225,"Larchmont, NY",Mamaroneck,2024
Cal Archdeacon,Amherst,50,DL,"6'0""",240,"Nashville, TN",Ensworth,2024
Anthony Kelly,Amherst,52,DL,"6'1""",230,"Huntington, NY",Harborfields,2026
Nathan Frankel,Amherst,54,OL,"6'4""",255,"Bloomfield Hills, MI",Cranbrook-Kingswood,2024
Kemit Fisher,Amherst,55,DL,"6'1""",245,"Laurel, NJ",Peddie School,2026
Bryan Conceicao,Amherst,56,LB,"6'0""",195,"Winthrop, MA",Winthrop,2025
Russell Campbell,Amherst,58,LB,"6'2""",191,"Medfield, MA",BB&N,2025
Zach Walker,Amherst,60,OL,"6'2""",260,"Ware, MA",Williston Northampton School,2026
Jake Yoffee,Amherst,61,OL,"6'1""",260,"Ridgewood, NJ",St. Joseph's Regional,2024
Angelo Fodera,Amherst,62,DL,"6'1""",260,"Galloway, NJ",St. Augustine Prep,2024
Jacob Rossi,Amherst,64,OL,"6'0""",260,"Memphis, TN",Lausanne Collegiate School,2026
Alec Treadway,Amherst,65,OL,"6'3""",265,"Wayne, PA",St. Joe's Prep,2026
Carson Webb,Amherst,66,OL,"6'2""",265,"Memphis, TN",Lausanne Collegiate School,2024
Adam Blumoff,Amherst,68,OL,"6'3""",255,"St. Louis, MO",John Burroughs School,2025
Henry Meyler,Amherst,71,OL,"6'4""",245,"Ridgefield, CT",Ridgefield,2024
Nick Diprinzio,Amherst,72,OL,"6'2""",260,"Philadelphia, PA",St. Joseph's Prep,2023
Jack Nagy,Amherst,74,OL,"6'4""",275,"Amherst, MA",Amherst,2025
Ramon Loya,Amherst,75,OL,"6'4""",290,"Carlsbad, NM",Carlsbad,2026
Jack Roche,Amherst,76,OL,"6'5""",275,"North Andover, MA",North Andover,2025
Frankie Kelley,Amherst,77,OL,"6'4""",285,"West Roxbury, MA",Buckingham Browne & Nichols,2024
Brayce Martin,Amherst,79,OL,"6'3""",250,"Overland Park, KS",Blue Valley West,2026
Owen Gaydos,Amherst,80,WR,"6'0""",165,"Ridgefield, CT",Ridgefield,2025
Jovee Celestin,Amherst,81,WR,"6'0""",180,"Ft. Lauderdale, FL",St. Thomas Aquinas,2026
Keith Delaney,Amherst,82,WR,"6'3""",185,"Knoxville, TN",Blair Academy,2026
Sam Gerber,Amherst,83,WR,"5'10""",180,"Wayne, PA",Haverford School,2026
A.J. Longo,Amherst,84,TE,"6'1""",225,"Franklin Lakes, NJ",Bergen Catholic,2025
Tom Nash,Amherst,85,TE,"6'6""",250,"Bellevue, WA",Bellevue,2026
Anthony Wise,Amherst,86,WR,"6'1""",175,"Reading, PA",The Hill School,2026
Carter Jung,Amherst,87,WR,"6'1""",180,"Menlo Park, CA",Menlo School,2026
Austin Pieck,Amherst,88,WR,"5'11""",175,"Bethany, CT",Notre Dame,2025
Gabe dos Santos,Amherst,89,WR,"5'9""",170,"Dudley, MA",Shepherd Hill Regional,2024
Conor Kennelly,Amherst,90,P/K,"6'3""",205,"Watertown, MA",Watertown,2023
Michael Mitchell,Amherst,92,P/K,"5'11""",160,"Elm Grove, WI",Marquette University High School,2025
Flynn McGilvray,Amherst,93,DL,"6'1""",250,"Bolton, MA",Choate Rosemary Hall,2023
Jack Elvekrog,Amherst,94,DL,"6'2""",236,"Piedmont, CA",Piedmont,2024
Michael Quartermain,Amherst,95,TE,"6'2""",225,"Phoenix, AZ",Brophy College Prep,2026
Peter Lena,Amherst,96,P/K,"6'2""",180,"Niantic, CT",Loomis Chaffee,2024
Phil Slaughter,Amherst,99,DL,"6'2""",240,"Charlotte, NC",Charlotte Christian School,2025
Jackson Hayes,Bates,1,WR,WR,"5'9""","San Marino, Calif.",Polytechnic,2023
Mohamed Coulibaly,Bates,2,DB,DB,"6'0""","Philadelphia, Pa.",Boys' Latin,2023
Jack Perry,Bates,3,QB,QB,"6'0""","Newbury, Mass.",St. John's Prep,2026
Reza Badiee,Bates,4,RB,RB,"5'11""","La Jolla, Calif.",Avon Old Farms (Conn.),2023
C Tony Hooks,Bates,5,LB,LB,"6'1""","New Rochelle, N.Y.",Portsmouth Abbey (R.I.),2023
Sergio Beltran,Bates,6,QB,QB,"5'10""","East Palo Alto, Calif.",Menlo School,2026
Mohamed Diawara,Bates,7,WR,WR,"6'1""","Philadelphia, Pa.",Boys' Latin,2023
Colton Bosselait,Bates,8,QB,QB,"6'0""","Westminster, Mass.",Oakmont Regional,2025
Liam Foley,Bates,9,QB,QB,"5'11""","Foxborough, Mass.",Foxborough,DEC. 2023
Jack Bryant,Bates,11,RB,RB,"6'2""","Falmouth, Maine",Falmouth,2023
Presley Green,Bates,12,DB,DB,"5'9""","Parkland, Fla.",Cardinal Gibbons,2026
Stephen Lardi,Bates,13,WR,WR,"5'7""","Staten Island, N.Y.",Morris Catholic,2026
Jose Calleja,Bates,14,DB,DB,"5'10""","Secane, Pa.",Ridley,2023
Hunter Norton,Bates,15,LB,LB,"6'0""","Rockport, Maine",Camden Hills Regional,2026
Matt Wiley,Bates,16,WR,WR,"6'2""","Bow, N.H.",Bishop Brady,2026
Thomas Formus,Bates,17,LB,LB,"6'0""","Ridgefield, Conn.",Ridgefield/Catholic Memorial (Mass.),2023
Colin Pierce,Bates,18,S,S,"6'0""","Hanover, N.H.",Hanover,2026
Matthew Holmes,Bates,19,WR,WR,"6'0""","Carpinteria, Calif.",Cate School,2026
Hunter Klingensmith,Bates,20,DB,DB,"6'0""","Belchertown, Mass.",Belchertown,2024
Owen Straley,Bates,21,DB,DB,"5'9""","Norwell, Mass.",Norwell,2023
Owen Palmieri,Bates,22,DB,DB,"5'8""","Franklin, Mass.",Franklin,2024
George Hawkins III,Bates,23,LB,LB,"6'1""","Jacksonville, Fla.",Trinity Christian Academy,2024
Jarrin Sato,Bates,24,DB,DB,"5'8""","Honolulu, Hawaii",Punahou School,2024
Quinn Kieselowsky,Bates,25,S,S,"6'0""","Blairstown, N.J.",Hudson Catholic Regional/The Lawrenceville School,2023
Xander Scavone,Bates,26,RB,RB,"5'9""","Ridgefield, Conn.",Ridgefield/Bridgton Academy (Maine),2026
Brian Gallucci,Bates,27,CB,CB,"5'10""","Wilmington, Mass.",Belmont Hill School,2026
Will Sutton,Bates,28,DB,DB,"5'11""","West Newbury, Mass.",Pentucket Regional,2026
Johnny Walker,Bates,29,CB,CB,"6'0""","Brooklyn, N.Y.",Poly Prep Country Day,2024
Anthony Morton Jr.,Bates,30,DB,DB,"5'11""","Philadelphia, Pa.",Boys' Latin,2024
Jack Morrall,Bates,31,RB,RB,"6'0""","Hopkinton, N.H.",Hopkinton,2026
Christian Olivieri,Bates,32,WR,WR,"5'11""","Hull, Mass.",Hull,2023
Jamil Mouehla,Bates,33,RB,RB,"5'11""","Harrington Park, N.J.",Northern Valley Regional at Old Tappan,2025
Archie Green Jr.,Bates,35,K/P,K/P,"5'10""","Upland, Calif.",Upland,2024
Michael Donahue,Bates,36,LB,LB,"5'9""","Cohasset, Mass.",Cohasset,2026
Graham Spurrell,Bates,38,LB,LB,"6'2""","Cranston, R.I.",Wheeler School,2026
Shane Broughton,Bates,41,LB,LB,"5'11""","Arlington, Mass.",Arlington,2026
Ben Conrad,Bates,43,DL,DL,"6'1""","Ivoryton, Conn.",Valley Regional,2024
Jackson Collins,Bates,44,DL,DL,"5'11""","Glen Ridge, N.J.",Seton Hall Prep,2026
Damien DiGiovine,Bates,46,DE,DE,"6'2""","Westford, Mass.",Westford Academy,2026
James Kilbride,Bates,48,LB,LB,"5'9""","Whitefish, Mont.",Cedar International School (B.V.I.),2026
Daniel Lynch,Bates,51,LB,LB,"6'0""","Berlin, Conn.",Berlin,2024
Jack Ryan,Bates,52,DL,DL,"6'2""","Henderson, Nev.",Avon Old Farms (Conn.),2023
Spencer Adams,Bates,53,LB,LB,"6'0""","Bedford, N.H.",Bedford,2023
Matt Connelly,Bates,54,DL,DL,"6'0""","Wellesley, Mass.",St. Sebastian's,2024
Domenic Virelli,Bates,57,OL,/,LS,"Melrose Park, Ill.","Phillips Academy (Andover, Mass.)",2026
Augie Reardon,Bates,59,DL,DL,"6'1""","Sudbury, Mass.",Lincoln-Sudbury Regional,2026
Tyler Castriotta,Bates,60,OG,OG,"6'0""","Milford, Mass.",Saint John's H.S.,2024
Paul Larrabee,Bates,62,DL,DL,"6'1""","Gloucester, Mass.",Pingree School,2025
C Cole De Magistris,Bates,63,OL,/,LS,"Emerson, N.J.",Emerson Junior-Senior,2024
Eli Dawson,Bates,65,OL,OL,"6'0""","Montclair, N.J.",Montclair H.S.,2025
Nick Florio,Bates,71,OL,OL,"5'11""","Beachwood, N.J.",Toms River South,2023
Brendan Lovett,Bates,72,OL,OL,"6'3""","Abington, Mass.",Roxbury Latin,2023
Peter Simplicio,Bates,73,LT,LT,"6'5""","West Hartford, Conn.",Conard,2024
Alec Pawlowicz,Bates,74,DL,"5'11""",205,"Branford, Conn.",Xavier,2026
Matthew Schreiber,Bates,75,OL,OL,"6'3""","Mount Sinai, N.Y.",Mount Sinai,2024
Quinn Woods,Bates,76,OL,OL,"6'2""","Minot, Maine",Hebron Academy,2023
Cameron Winslow,Bates,77,RG,RG,"6'4""","Winslow, Maine",Winslow,2023
Dylan Roberts,Bates,78,OL,OL,"6'3""","Swampscott, Mass.",St. John’s Prep,2026
Jake Parsons,Bates,79,OL,OL,"6'3""","Belmont, Mass.",Belmont,2023
Maverick Selementi,Bates,80,WR,WR,"5'11""","Montclair, N.J.",Montclair,2026
C Sean Bryant,Bates,81,WR,WR,"6'3""","Falmouth, Maine",Falmouth/The Holderness School,2023
ZaQuir Jones,Bates,82,WR,WR,"6'2""","Philadelphia, Pa.",Boys' Latin of Philadelphia,2024
Adam Steinberg,Bates,83,WR,WR,"5'9""","Westborough, Mass.",Westborough,2026
Drew Sachs,Bates,84,WR,WR,"6'0""","Ann Arbor, Mich.",The Governor's Academy (Mass.),2025
Alexander Suny,Bates,88,TE,TE,"6'3""","North Reading, Mass.",Choate Rosemary Hall,2024
Steven Guerrette,Bates,89,TE,TE,"6'3""","Bow, N.H.",Bow,2024
Alex Zunino,Bates,91,DL,DL,"6'3""","East Granby, Conn.",The Loomis Chaffee School,2024
Michael Cruz,Bates,92,DL,DL,"5'11""","Rollinsford, N.H.",Marshwood H.S. (Maine),2024
Drew Kremhelmer,Bates,93,DL,DL,"6'0""","Warren, Mich.",University of Detroit Jesuit High School and Academy,2025
Matthew Juneau,Bates,94,DE,DE,"6'1""","Wakefield, Mass.",Bishop Fenwick,2025
Zachary Henderson,Bates,96,K/P,K/P,"5'8""","Windsor, Conn.",Loomis Chaffee School,2026
Parker Huynh-Benningfield,Bates,97,K/P,K/P,"5'10""","Austin, Texas",Saint Stephen’s Episcopal School,2026
Kyle Hamilton,Bates,98,DL,DL,"6'2""","Hartford, Vt.",Hartford,2024
Finn Duffey,Bates,99,DL,DL,"5'10""","Scituate, Mass.",Boston College H.S.,2025
Andrew Boel,Bowdoin,1,QB,"5'11""",184,"Wyckoff, N.J.",Bergen Catholic,2023
Koy Price,Bowdoin,2,DB,"6'0""",198,"Norwalk, Conn.",St. Luke's,2024
Andre Eden,Bowdoin,3,RB,"5'11""",188,"Phoenix, Ariz.",Brophy College Prep,2023
Jake Gaylord,Bowdoin,4,QB,"6'5""",196,"Mound, Minn.",Mound Westonka,2025
Aise Pream,Bowdoin,5,WR,"5'6""",146,"Dracut, Mass.",Phillips Exeter,2023
Jack Havener,Bowdoin,6,DB,"5'9""",165,"Scottsdale, Ariz.",Pinnacle,2023
Robbie Long,Bowdoin,7,QB,"6'0""",193,"Dunstable, Mass.",Groton,2024
Colton Fahey,Bowdoin,8,WR,"5'10""",190,"North Andover, Mass.",Pingree School,2023
Slade Postemski,Bowdoin,10,WR,"6'0""",187,"Rutland, Vt.",Rutland,2025
Jordin Young,Bowdoin,11,DB,"5'11""",176,"Glenarden, Md.",Sidwell Friends,2023
Austin Hiscoe,Bowdoin,12,WR,"5'9""",164,"Milford, N.H.",St. Paul's School,2024
Sam Prangley,Bowdoin,16,DB,"6'0""",203,"Cincinnati, Ohio",Wyoming,2025
Tommy Boehner,Bowdoin,17,LB,"5'9""",175,"Pittsburgh, Pa.",Mount Lebanon,2025
Brady Douglas,Bowdoin,19,WR,"6'0""",196,"Falmouth, Maine",Falmouth,2023
Chris Althoff,Bowdoin,21,DB,"5'10""",185,"Wellesley, Mass.",Wellesley,2023
Tim Cronin,Bowdoin,22,RB,"6'1""",190,"Marblehead, Mass.",Marblehead,2023
Nick Viscusi,Bowdoin,23,DB,"5'11""",164,"Wrentham, Mass.",King Philip Regional,2025
Dan Fiore,Bowdoin,26,LB,"5'9""",175,"Hazlet, N.J.",Raritan,2023
Aiden MacNeil,Bowdoin,29,DB,"6'3""",199,"Branford, Conn.",Branford,2023
Luke Brex,Bowdoin,32,LB,"6'1""",266,"Sandyston, N.J.",Kittatinny Regional,2025
Liam Wholey,Bowdoin,33,DL,"6'4""",225,"Wakefield, R.I.",La Salle Academy,2023
Eli D'Herete,Bowdoin,34,RB,"5'11""",192,"Columbus, Ohio",Upper Arlington,2023
Joey Brink,Bowdoin,35,LB,"6'1""",202,"Boston, Mass.",B.C. High,2023
Beau Burns,Bowdoin,36,LB,"6'0""",199,"Washington, D.C.",Sidwell Friends School,2024
Luke Schramm,Bowdoin,37,DB,"5'10""",176,"Washington, D.C.",Saint Albans,2024
Jere Rose,Bowdoin,38,DB,"6'0""",189,"West Roxbury, Mass.",Roxbury Latin,2023
Max Danenhower,Bowdoin,39,DB,"5'11""",183,"Seattle, Wash.",Lakeside,2024
Wilson Thors,Bowdoin,40,LB,"5'11""",188,"New York, N.Y.",Groton School,2024
Mark Paquette,Bowdoin,41,DB,"6'0""",167,"Marblehead, Mass.",Marblehead,2024
Chris Annitto,Bowdoin,42,DB,"5'10""",193,"Amityville, N.Y.",Saint John Baptist Diocesan,2024
Bobby Rodolakis,Bowdoin,44,RB,"5'10""",207,"Shrewsbury, Mass.",Saint John's,2025
Gordon Gozdeck,Bowdoin,45,LB,"6'1""",205,"Sudbury, Mass.",Lincoln-Sudbury,2024
Chase Anderson,Bowdoin,46,DL,"5'11""",193,"Pomfret, Conn.",Phillips Academy,2024
Liam Ford,Bowdoin,47,LB,"6'3""",187,"Hopkinton, Mass.",St. Sebastian’s School,2024
Axel Romell,Bowdoin,49,DL,"6'3""",215,"Sigtuna, Sweden",Middlesex School,2024
Tyler Larson,Bowdoin,51,OL,"6'3""",265,"Ramsey, N.J.",Ramsey,2025
Thomas Muniz,Bowdoin,53,OL,"6'0""",249,"San Diego, Calif.",Bishops School,2025
Kanoa Young,Bowdoin,54,DL,"6'0""",216,"Redondo Beach, Calif.",Harvard-Westlake,2024
Tal Brill,Bowdoin,55,OL,"6'1""",238,"Marietta, Ga.",Walton Comprehensive,2023
John Penczar,Bowdoin,58,OL,"6'2""",269,"Alexandria, Va.",T.C. Williams,2025
Mike Randall,Bowdoin,59,DL,"6'3""",238,"Portland, Maine",Deering,2023
Sam Smith,Bowdoin,65,DL,"6'1""",235,"Burlington, Vt.",St. Paul's,2025
Cam Luciano,Bowdoin,67,DL,"6'1""",255,"Woodbridge, Conn.",Amity Regional,2024
Jack Brookman,Bowdoin,72,OL,"6'1""",255,"Rydal, Pa.",Germantown Academy,2025
Colin Cruce,Bowdoin,73,OL,"6'4""",261,"Glendale, Calif.",Loyola,2025
Julian Brawn,Bowdoin,75,OL,"6'2""",252,"New Canaan, Conn.",New Canaan,2025
Tim Ladka,Bowdoin,77,OL,"6'1""",252,"Scituate, Mass.",B.C. High,2023
Jackson Bradford,Bowdoin,78,OL,"6'0""",264,"Seffner, Fla.",Strawberry Crest,2024
Brett Anderson,Bowdoin,80,WR,"5'10""",167,"Macomb, Mich.",Fraser,2025
Brennan Pagan,Bowdoin,81,WR,"5'9""",181,"Cincinnati, Ohio",Wyoming,2024
Jed Hoggard,Bowdoin,82,WR,"6'2""",193,"Acton, Mass.",Acton-Boxborough,2024
Mathew Hall,Bowdoin,85,TE,"6'6""",213,"Parkland, Fla.",American Heritage,2024
James Doody,Bowdoin,88,TE,"6'2""",205,"Marblehead, Mass.",Marblehead,2025
PJ Mullin,Bowdoin,90,DL,"6'2""",216,"Duxbury, Mass.",Duxbury,2023
Aidan Reidy,Bowdoin,91,DL,"6'3""",228,"Scituate, Mass.",Phillips Academy,2024
Ethan Ecsedy,Bowdoin,92,DL,"6'5""",223,"Newton, Mass.",Newton North,2025
Anthony Holly,Bowdoin,93,DL,"6'1""",217,"Encino, Calif.",Harvard-Westlake,2025
Emmett Hynes,Bowdoin,94,DL,"6'2""",202,"Chatham, N.J.",Chatham,2025
Will Hyde,Bowdoin,95,TE,"6'4""",199,"Dedham, Mass.",Roxbury Latin,2024
Jotham Casey,Bowdoin,96,K/P,"5'11""",186,"Cheshire, Conn.",Cheshire,2024
Matt Panker,Colby,0,WR,"5'8""",171,"Hawthorne, N.Y.",Iona Preparatory School,2023
Javon Williams,Colby,1,DB,"6'0""",192,"Hancock, Maine",Ellsworth,2023
Will Nipon,Colby,2,DB,"6'0""",181,"New York, N.Y.",Poly Prep Country Day School,2023
Matt Hersch,Colby,3,QB,"6'1""",189,"Monroe, Conn.",Masuk,2023
Elijah Clarke,Colby,4,WR,"6'0""",172,"Hewitt, N.J.",Don Bosco Preparatory,2024
EJ Brister,Colby,6,LB,"6'1""",231,"Somerville, N.J.",Appoquinimink,2024
Luke D'Aloia,Colby,7,LB,"5'11""",211,"Hopkinton, Mass.",Hopkinton,2023
Lowell Carr,Colby,8,K/P,"6'3""",179,"Palm Beach Gardens, Fla.",The Benjamin School,2023
Marc Dougherty,Colby,9,LB,"6'0""",221,"Gretna, La.",Jesuit High School,2023
Shane Baldwin,Colby,10,QB,"6'4""",200,"Darien, Conn.",Choate Rosemary Hall,2025
Miles Drake,Colby,11,QB,"6'2""",182,"Darien, Conn.",Darien,2026
Isaac Anderson,Colby,13,WR,"6'0""",182,"Manchester, N.H.",St. Paul's School,2024
Thomas Keeling,Colby,14,QB,"6'1""",208,"Irvine, Calif.",University,2023
Jack Sawyer,Colby,15,WR,"6'2""",212,"Weston, Conn.",Weston,2025
Matthew Lund,Colby,16,DB,"5'11""",178,"Cohasset, Mass.",Cohasset,2023
Duke Ferrara,Colby,17,WR,"6'2""",180,"Wellesley, Mass.",Noble and Greenough School,2025
Trevor Smith,Colby,18,DB,"5'10""",168,"Concord, N.H.",St. Paul's School,2026
Declan McNamara,Colby,19,QB,"6'3""",194,"Ridgefield, Conn.",Suffield Academy,2026
Nick Donatio,Colby,20,DB,"5'11""",185,"Salem, N.H.",Central Catholic,2024
Joshua East,Colby,21,DB,"5'11""",174,"Colts Neck, N.J.",St. John Vianney,2025
Mark Kassis,Colby,22,LB,"6'0""",215,"Salem, N.H.",Central Catholic,2024
Jamil Bumpass,Colby,23,DB,"6'0""",163,"Upper Marlboro, Md.",Dr. Henry A Wise,2025
Billy Stevens,Colby,24,DB,"5'9""",200,"Ipswich, Mass.",The Pingree School,2025
Donovan Ganges,Colby,25,RB,"5'6""",182,"Philadelphia, Pa.",Germantown Academy,2023
Josh Riddick,Colby,26,DB,"5'10""",170,"Camden, N.J.",Phillips Exeter Academy,2024
Jackson Murray,Colby,27,DB,"5'10""",183,"Lakeville, Mass.",Coyle-Cassidy,2024
Brendan Sawyer,Colby,28,WR,"6'2""",208,"Weston, Conn.",Weston,2025
Jamar Bumpass,Colby,29,DB,"6'0""",170,"Upper Marlboro, Md.",Dr. Henry A Wise,2025
Subomi Soyoye,Colby,31,DB,"6'1""",166,"Mattapan, Mass.",Newton North,2026
Keon Smart,Colby,33,RB,"5'8""",179,"Woodstock, Ga.",The Walker School,2025
Alex Nuahn,Colby,34,LB,"5'7""",180,"Providence, R.I.",La Salle Academy,2024
Chris Domoracki,Colby,35,RB,"6'1""",217,"South Hamilton, Mass.",Hamilton - Wenham,2026
Locksley Burke,Colby,36,LB,"5'9""",203,"East Orange, N.J.",East Orange,2025
Jamal Chapman,Colby,37,LB,"6'0""",220,"Galloway, N.J.",Cedar Creek,2026
Markus Christie,Colby,38,DB,"6'2""",192,"Plan, Texas",John Paul II,2025
Max Toomey,Colby,39,LB,"5'11""",201,"Lexington, Mass.",Middlesex School,2026
Aiden Kelley,Colby,41,LB,"6'2""",208,"Manchester, N.H.",Manchester Central,2026
Sebastian Romain,Colby,42,LB,"6'2""",228,"Hudson, Mass.",St. John’s,2026
Payton Reid,Colby,43,LB,"6'1""",224,"Pottstown, Pa.",Hill School,2024
Will Terzi,Colby,44,TE,"6'1""",222,"Wallingford, Conn.",Sheehan,2023
Dennis Dougherty,Colby,45,LB,"6'1""",230,"Gretna, La.",Jesuit,2026
Gian Martinez,Colby,46,K/P,"5'9""",182,"Boston, Mass.",Boston Latin,2026
Jeremy Goldrick,Colby,47,LB,"5'11""",209,"Jamison, Pa.",Central Bucks West,2026
Wellington Pereira,Colby,48,LB,"5'11""",239,"Wayland, Mass.",Bridgton Academy,2024
Prince Nuamah,Colby,49,LB,"6'0""",221,"Bronx, N.Y.",St. Mark's School,2025
Julian Young,Colby,50,LB,"6'2""",218,"Manalapan, N.J.",St. John Vianney,2025
Nick Mueller,Colby,51,OL,"6'1""",257,"Newbury, Mass.",Central Catholic,2024
Andrew Hart,Colby,52,LB,"6'0""",235,"Jamaica, N.Y.",Poly Prep Country Day,2025
Matt Goodman,Colby,54,LB,"6'2""",219,"Boca Raton, Fla.",Loomis Chaffee,2025
Kosi Anazodo,Colby,55,DL,"6'2""",211,"Greenlawn, N.Y.",Bridgton Academy,2026
Gamble Reed,Colby,56,DL,"6'2""",225,"Spring, Texas",The John Cooper School,2026
Mike Williams,Colby,57,DL,"5'10""",215,"Evanston, Ill.",Loyola Academy,2026
David Canas,Colby,58,OL,"6'3""",271,"Monroe, Conn.",Masuk,2024
Tyler Gonsalves,Colby,59,LB,"5'9""",175,"Taunton, Mass.",St. John's,2023
Liam Daly,Colby,64,OL,"6'0""",259,"Shrewsbury, Mass.",St. John's,2023
Cooper Tamisiea,Colby,65,OL,"6'3""",267,"Wilmette, Ill.",Loyola Academy,2025
Ty Mahar,Colby,66,OL,"6'1""",262,"Los Angeles, Calif.",Loyola,2023
Nasir Lawson,Colby,68,OL,"6'2""",275,"Newtown, Penn.",Lawrenceville School,2026
Ben Entner,Colby,69,OL,"6'2""",267,"Andover, Mass.",Andover,2025
Harrison Hill,Colby,71,OL,"6'1""",294,"Allentown, N.J.",Hun School,2024
Bryce Leos,Colby,72,OL,"6'5""",311,"Anaheim, Calif.",Servite,2025
Anthony Burnett,Colby,73,OL,"6'1""",298,"Malden, Mass.",Brooks School,2023
Michael Maglio,Colby,74,OL,"6'1""",282,"Ledgewood, N.J.",Pope John XXIII,2024
Michael Anazodo,Colby,75,OL,"6'6""",287,"Greenlawn, N.Y.",Bridgton Academy,2024
Joelin Pimentel,Colby,76,OL,"5'11""",273,"Lawrence, Mass.",The Pingree School,2026
Ryan Reno,Colby,77,OL,"6'7""",274,"Gorham, Maine",Gorham,2024
